#,,,,,
# 注意事项,,,,,
#    1. var_name为stda要素名
#    2. var_units为当前数据的在cmadass中的单位，单位名参考metpy.units（即pint库），未知或者不确定不填写空着即可，可带倍数
#    3. cmadaas_var_name为cmadass上数据接口需要的要素名
#    4. cmadaas_discription为描述信息，目前不进行任何使用，可看作为配置行的说明
#    5. cmadaas_data_code为cmadass上数据接口需要的data_code，因为存在多个来源，此处填写多个以/分割
#    6. 此表还与cmadass_datacode_cfg.csv相关联，关联列为data_name,cmadaas_data_code
#    7. 以data_name,var_name列作为查询列，保证能确定唯一一行
# ,,,,,
data_name,var_name,var_units,cmadaas_var_name,cmadaas_discription,cmadaas_data_code
sfc_chn_hor,rain24,mm,PRE_24h,过去24小时降水量,SURF_CHN_MUL_HOR_MAIN
sfc_chn_hor,rain12,mm,PRE_12h,过去12小时降水量,SURF_CHN_MUL_HOR_MAIN
sfc_chn_hor,rain06,mm,PRE_6h,过去6小时降水量,SURF_CHN_MUL_HOR_MAIN
sfc_chn_hor,rain03,mm,PRE_3h,过去3小时降水量,SURF_CHN_MUL_HOR_MAIN
sfc_chn_hor,rain01,mm,PRE_1h,过去1小时降水量,SURF_CHN_MUL_HOR_MAIN
sfc_chn_hor,tmp,kelvin,TEM,温度/气温,SURF_CHN_MUL_HOR_MAIN
sfc_chn_hor,td,kelvin,DPT,露点温度,SURF_CHN_MUL_HOR_MAIN
sfc_chn_hor,rh,percent,RHU,相对湿度,SURF_CHN_MUL_HOR_MAIN
sfc_chn_hor,wsp,m/s,WIN_S_Avg_10mi,10分钟平均风速,SURF_CHN_MUL_HOR_MAIN
sfc_chn_hor,wdir,degree,WIN_D_Avg_10mi,10分钟平均风向（角度）,SURF_CHN_MUL_HOR_MAIN
sfc_chn_hor,tmx24_2m,degC,TEM_Max_24h,过去24小时最高气温,SURF_CHN_MUL_HOR_MAIN
