#,,
# ????,,
#    1. fhour_flag=0意义为零场预报，fhour_flag=1代表预报场预报。如果零场预报场相同，请填写两行。,,
#       如果填写any，则代表不关心零场预报场，data_code直接取要素配置表中的第一个,,
#    2. 以data_name,fhour_flag,列作为查询列，保证能确定一一行
# ,,
data_name,fhour_flag,data_code
cma_gfs,0,NAFP_ANA_FTM_GRAPES_GFS_25KM_GLB
cma_gfs,1,NAFP_FOR_FTM_GRAPES_GFS_25KM_GLB
cma_meso_3km,0,NAFP_GRAPES_MESO_ANA_3KM
cma_meso_3km,1,NAFP_GRAPES_MESO_FOR_3KM
cma_rafs_3km,0,NAFP_ANA_GRAPES_RAFS_3KM
cma_rafs_3km,1,NAFP_FOR_GRAPES_RAFS_3KM
rmaps_st_9km,0,NAFP_RMAPS_ST_9KM_CHN
rmaps_st_9km,1,NAFP_RMAPS_ST_9KM_CHN
rmaps_st_3km,0,NAFP_RMAPS_ST_3KM_NCN
rmaps_st_3km,1,NAFP_RMAPS_ST_3KM_NCN
ecmwf,0,any
ecmwf,1,any
cldas,0,any
cldas,1,any
hrcldas,0,any
hrcldas,1,any
cldas2,0,any
cldas2,1,any
ncep_gfs,0,NAFP_KWBC_GFS_ANA_0P25_GLB
ncep_gfs,1,NAFP_KWBC_GFS_FOR_0P25_GLB
ecmwf_ens,0,any
ecmwf_ens,1,any
cma_ra,0,any
cma_ra,1,any
cra_land,0,any
cra_land,1,any
ecmwf_hr,0,any
ecmwf_hr,1,any
cmpas_1km,0,any
cmpas_1km,1,any
cmpas_5km,0,any
cmpas_5km,1,any
cmpas21_5km,0,any
cmpas21_5km,1,any
