#,,,,,
# 注意事项,,,,,
#    1. var_name为stda要素名,,,,,
#    2. var_units为当前数据的在cmadass中的单位，单位名参考metpy.units（即pint库），未知或者不确定不填写空着即可，可带倍数,,,,,
#    3. cmadaas_var_name为cmadass上数据接口需要的要素名,,,,,
#    4. cmadaas_discription为描述信息，目前不进行任何使用，可看作为配置行的说明,,,,,
#    5. cmadaas_data_code为cmadass上数据接口需要的data_code，因为存在多个来源，此处填写多个以/分割,,,,,
#    6. 此表还与cmadass_datacode_cfg.csv相关联，关联列为data_name,cmadaas_data_code,,,,
#    7. 以data_name,var_name列作为查询列，保证能确定唯一一行,,,,
# ,,,,,
data_name,var_name,var_units,cmadaas_var_name,cmadaas_discription,cmadaas_data_code
sfc_chn_hor_n,rain24,mm,PRE_24h,过去24小时降水量,SURF_CHN_MUL_HOR_N
sfc_chn_hor_n,rain12,mm,PRE_12h,过去12小时降水量,SURF_CHN_MUL_HOR_N
sfc_chn_hor_n,rain06,mm,PRE_6h,过去6小时降水量,SURF_CHN_MUL_HOR_N
sfc_chn_hor_n,rain03,mm,PRE_3h,过去3小时降水量,SURF_CHN_MUL_HOR_N
sfc_chn_hor_n,rain01,mm,PRE_1h,过去1小时降水量,SURF_CHN_MUL_HOR_N
sfc_chn_hor_n,tmp,degC,TEM,温度/气温,SURF_CHN_MUL_HOR_N
sfc_chn_hor_n,td,degC,DPT,露点温度,SURF_CHN_MUL_HOR_N
sfc_chn_hor_n,rh,percent,RHU,相对湿度,SURF_CHN_MUL_HOR_N
sfc_chn_hor_n,wsp,m/s,WIN_S_Avg_2mi,10分钟平均风速,SURF_CHN_MUL_HOR_N
sfc_chn_hor_n,wdir,degree,WIN_D_Avg_2mi,10分钟平均风向（角度）,SURF_CHN_MUL_HOR_N
sfc_chn_hor_n,wsp10min,m/s,WIN_S_Avg_10mi,2分钟平均风速,SURF_CHN_MUL_HOR_N
sfc_chn_hor_n,wdir10min,degree,WIN_D_Avg_10mi,2分钟平均风向（角度）,SURF_CHN_MUL_HOR_N
sfc_chn_hor_n,tmx24_2m,degC,TEM_Max_24h,过去24小时最高气温,SURF_CHN_MUL_HOR_N
sfc_chn_hor_n,tmn24_2m,degC,TEM_Min_24h,过去24小时最高气温,SURF_CHN_MUL_HOR_N
sfc_chn_hor_n,gust10m,m/s,WIN_S_INST_Max,极大风速,SURF_CHN_MUL_HOR_N
sfc_chn_hor_n,gustdir10m,degree,WIN_D_INST_Max,极大风向,SURF_CHN_MUL_HOR_N
sfc_chn_hor_n,psfc,hPa,PRS,地面汽压,SURF_CHN_MUL_HOR_N
sfc_chn_hor_n,mslp,hPa,PRS_Sea,海平面汽压,SURF_CHN_MUL_HOR_N
sfc_chn_hor_n,snow_depth,cm,Snow_Depth,积雪深度,SURF_CHN_MUL_HOR_N
sfc_chn_hor,rain24,mm,PRE_24h,过去24小时降水量,SURF_CHN_MUL_HOR
sfc_chn_hor,rain12,mm,PRE_12h,过去12小时降水量,SURF_CHN_MUL_HOR
sfc_chn_hor,rain06,mm,PRE_6h,过去6小时降水量,SURF_CHN_MUL_HOR
sfc_chn_hor,rain03,mm,PRE_3h,过去3小时降水量,SURF_CHN_MUL_HOR
sfc_chn_hor,rain01,mm,PRE_1h,过去1小时降水量,SURF_CHN_MUL_HOR
sfc_chn_hor,tmp,degC,TEM,温度/气温,SURF_CHN_MUL_HOR
sfc_chn_hor,td,degC,DPT,露点温度,SURF_CHN_MUL_HOR
sfc_chn_hor,rh,percent,RHU,相对湿度,SURF_CHN_MUL_HOR
sfc_chn_hor,wsp,m/s,WIN_S_Avg_2mi,10分钟平均风速,SURF_CHN_MUL_HOR
sfc_chn_hor,wdir,degree,WIN_D_Avg_2mi,10分钟平均风向（角度）,SURF_CHN_MUL_HOR
sfc_chn_hor,wsp10min,m/s,WIN_S_Avg_10mi,2分钟平均风速,SURF_CHN_MUL_HOR
sfc_chn_hor,wdir10min,degree,WIN_D_Avg_10mi,2分钟平均风向（角度）,SURF_CHN_MUL_HOR
sfc_chn_hor,tmx24_2m,degC,TEM_Max_24h,过去24小时最高气温,SURF_CHN_MUL_HOR
sfc_chn_hor,tmn24_2m,degC,TEM_Min_24h,过去24小时最高气温,SURF_CHN_MUL_HOR
sfc_chn_hor,gust10m,m/s,WIN_S_INST_Max,极大风速,SURF_CHN_MUL_HOR
sfc_chn_hor,gustdir10m,degree,WIN_D_INST_Max,极大风向,SURF_CHN_MUL_HOR
sfc_chn_hor,psfc,hPa,PRS,地面汽压,SURF_CHN_MUL_HOR
sfc_chn_hor,mslp,hPa,PRS_Sea,海平面汽压,SURF_CHN_MUL_HOR
sfc_chn_hor,snow_depth,cm,Snow_Depth,积雪深度,SURF_CHN_MUL_HOR
surf_chn_mul_day_n,rain24_08,mm,PRE_Time_0808,08-08时降水量,SURF_CHN_MUL_DAY_N
surf_chn_mul_day_n,rain24_20,mm,PRE_Time_2020,20-20时降水量,SURF_CHN_MUL_DAY_N
